gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_00145,ec_contig_4,392,42.8957,ytfP,Gamma-glutamylcyclotransferase family protein YtfP
BBFGCJEA_02015,ec_contig_16,841,42.8215,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG
BBFGCJEA_00538,ec_contig_7,307,42.5528,tatA,Sec-independent protein translocase protein TatA
BBFGCJEA_01922,ec_contig_16,1743,42.5509,,hypothetical protein
IEOEGPMD_03998,pa_contig_19,84,42.4816,,
BBFGCJEA_01873,ec_contig_16,1018,41.9119,galU,UTP--glucose-1-phosphate uridylyltransferase
BBFGCJEA_03689,ec_contig_17,395,41.7587,rplR,Large ribosomal subunit protein uL18
BBFGCJEA_03566,ec_contig_17,697,41.4043,rlmE,Ribosomal RNA large subunit methyltransferase E
BBFGCJEA_04134,ec_contig_18,385,41.4033,rplS,Large ribosomal subunit protein bL19
BBFGCJEA_02715,ec_contig_16,212,41.3226,yaiA,putative protein YaiA
BBFGCJEA_03698,ec_contig_17,452,41.1576,rplP,Large ribosomal subunit protein uL16
BBFGCJEA_03669,ec_contig_17,520,41.0562,smg,Protein Smg
BBFGCJEA_00995,ec_contig_11,370,40.8466,rcnB,Nickel/cobalt homeostasis protein RcnB
BBFGCJEA_00096,ec_contig_15,229,40.8103,,hypothetical protein
BBFGCJEA_04049,ec_contig_18,201,40.4424,csrA,Carbon storage regulator
IEOEGPMD_05204,pa_contig_19,82,40.3788,,
BBFGCJEA_03498,ec_contig_17,749,39.9299,yhaK,Pirin-like protein YhaK
BBFGCJEA_04205,ec_contig_18,787,39.7475,trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
BBFGCJEA_03489,ec_contig_17,387,39.2498,yqjC,Protein YqjC
BBFGCJEA_01620,ec_contig_16,451,39.0702,osmC,Peroxiredoxin OsmC
IEOEGPMD_05526,pa_contig_19,79,38.9015,,
BBFGCJEA_03980,ec_contig_18,1866,38.7965,cysJ,Sulfite reductase [NADPH] flavoprotein alpha-component
BBFGCJEA_02355,ec_contig_16,1081,38.7506,nadA,Quinolinate synthase
BBFGCJEA_03679,ec_contig_17,397,38.6912,rplQ,Large ribosomal subunit protein bL17
BBFGCJEA_02019,ec_contig_16,177,38.0695,rpmF,Large ribosomal subunit protein bL32
BBFGCJEA_01844,ec_contig_16,1623,38.0574,trpGD,Bifunctional protein TrpGD
BBFGCJEA_03133,ec_contig_16,802,38.0409,fhuF,Ferric siderophore reductase
BBFGCJEA_03211,ec_contig_16,529,37.9261,fecI,Ferric citrate uptake sigma factor FecI
BBFGCJEA_01533,ec_contig_16,413,37.8829,,hypothetical protein
BBFGCJEA_01545,ec_contig_16,218,37.7708,cspB,Cold shock-like protein CspB
BBFGCJEA_03562,ec_contig_17,335,37.649,secG,Protein-export membrane protein SecG
BBFGCJEA_03178,ec_contig_16,196,37.6162,,hypothetical protein
BBFGCJEA_02861,ec_contig_16,404,37.6105,crl,Sigma factor-binding protein Crl
BBFGCJEA_00167,ec_contig_4,396,37.4243,rpsF,Small ribosomal subunit protein bS6
BBFGCJEA_02921,ec_contig_16,455,37.3422,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
BBFGCJEA_02956,ec_contig_16,455,37.3422,dksA,RNA polymerase-binding transcription factor DksA
BBFGCJEA_02013,ec_contig_16,1236,37.2435,fabF,3-oxoacyl-[acyl-carrier-protein] synthase 2
BBFGCJEA_04234,ec_contig_18,152,37.1797,,hypothetical protein
IEOEGPMD_05202,pa_contig_19,75,36.9318,,
BBFGCJEA_00260,ec_contig_4,1481,36.8765,proP,Proline/betaine transporter
BBFGCJEA_01091,ec_contig_16,975,36.3071,tsuA,Thiosulfate transporter TsuA
BBFGCJEA_03744,ec_contig_17,608,35.9462,crp,DNA-binding transcriptional dual regulator CRP
BBFGCJEA_02139,ec_contig_16,303,35.659,hspQ,Heat shock protein HspQ
BBFGCJEA_00347,ec_contig_7,385,35.0568,psiE,Protein PsiE
BBFGCJEA_03502,ec_contig_17,1278,35.039,tdcG,L-serine dehydratase TdcG
BBFGCJEA_02930,ec_contig_16,522,35.0098,frr,Ribosome-recycling factor
BBFGCJEA_03499,ec_contig_17,154,34.9293,,hypothetical protein
BBFGCJEA_02216,ec_contig_16,458,34.6269,lrp,Leucine-responsive regulatory protein
BBFGCJEA_03994,ec_contig_18,560,34.5835,cysC,Adenylyl-sulfate kinase
BBFGCJEA_01097,ec_contig_16,304,34.4757,tmaR,Pole-localizer protein TmaR
BBFGCJEA_03298,ec_contig_17,608,34.4757,,hypothetical protein
BBFGCJEA_01460,ec_contig_16,428,34.2256,slyB,Outer membrane lipoprotein SlyB
BBFGCJEA_03414,ec_contig_17,362,34.2111,mqsA,Antitoxin MqsA
